uuid,rol_sii,area_ha,tier,tipo,titular_documental,estado_titularidad,nombre,centroide_lon,centroide_lat,manz_sii,predio_num,sector,estado_sii,conflictos,hipotesis,fuentes,alias_historicos
a0961cca5b57,80-0,82678.8548,1,fiscal,BLOQUEADO · presumible Estado/Fisco · 1/5 de la comuna,HIPÓTESIS · macro-bloque Estado,Macro-fiscal 80-0,-70.6570070461,-29.1719309667,80.000000000000000,0.000000000000000,,V,,BNUP o predio fiscal mayor,QUALITY_SCAN_CATASTRO_SII §2,
306cd4898d3f,79-1,58350.5982,1,fiscal,BLOQUEADO · presumible Estado/Fisco,HIPÓTESIS · macro-bloque Estado,Macro-fiscal 79-1,-70.685223874,-29.3860977462,79.000000000000000,1.000000000000000,,V,,14% comuna · BNUP o predio fiscal,QUALITY_SCAN_CATASTRO_SII §2,
4e4f3b9462a2,1075-1,51165.3588,1,fiscal,BLOQUEADO · rol con manzana >1000 · presumible Estado,HIPÓTESIS · macro-bloque fiscal,Macro-fiscal 1075-1,-70.7783432395,-29.5484616114,1075.000000000000000,1.000000000000000,,V,,12% comuna · predio fiscal o costero,QUALITY_SCAN_CATASTRO_SII §2,
114665debbe6,24-123,1399.9254,1,privado,Cominetti (Resto Lotes A+B Hijuela 2),CONFIRMADO_canon,Cominetti · Hijuela 2 (Resto Lotes A+B),-71.2018272323,-29.5195717132,24.000000000000000,123.000000000000000,,V,"superficie_disputada (2,301 ha catastrales vs 1,839 ha Cofanti)",,CANON_HIJUELA2_v2 | Escritura Cofanti Rep 25.963 (16.pdf) | P2.8 RESUELTO,24-48
e74f607e74d3,24-43,1241.7632,1,privado,pendiente · candidato Hijuela 1 Jarpa,CANDIDATO_pendiente_validacion,Hijuela 1 (candidato) · Pablo Jarpa origen 1988,-71.1673718101,-29.5107781931,24.000000000000000,43.000000000000000,,V,,si_es_Hijuela_1_Jarpa: dueño post-1988 sería sucesión Pablo Jarpa o cadena dominical posterior,cruce_geometria_rol_sii_v1 task #7,
1a95a55d0ed3,24-123,901.7102,1,privado,Cominetti (Resto Lotes A+B Hijuela 2),CONFIRMADO_canon,Cominetti · Hijuela 2 (Resto Lotes A+B),-71.2627780967,-29.5100864048,24.000000000000000,123.000000000000000,,V,"superficie_disputada (2,301 ha catastrales vs 1,839 ha Cofanti)",,CANON_HIJUELA2_v2 | Escritura Cofanti Rep 25.963 (16.pdf) | P2.8 RESUELTO,24-48
eb4c32e3b8a0,24-160,299.1792,1,privado,Cominetti (Lote C Hijuela 2),CONFIRMADO_canon,Cominetti · Hijuela 2 (Lote C),-71.2409940987,-29.5058540673,24.000000000000000,160.000000000000000,,V,,,CANON_HIJUELA2_v2 | Escritura Cofanti | P2.8 RESUELTO,24-4
0bdafc42dd2a,24-43,283.1428,1,privado,pendiente · candidato Hijuela 1 Jarpa,CANDIDATO_pendiente_validacion,Hijuela 1 (candidato) · Pablo Jarpa origen 1988,-71.2166157375,-29.5010582939,24.000000000000000,43.000000000000000,,V,,si_es_Hijuela_1_Jarpa: dueño post-1988 sería sucesión Pablo Jarpa o cadena dominical posterior,cruce_geometria_rol_sii_v1 task #7,
7616991c5a02,49-13,34321.4382,2,desconocido,DESCONOCIDO,NO_INVESTIGADO,rol 49-13,-71.2590651878,-29.2410449381,49.000000000000000,13.000000000000000,,V,,,,
dbfdd21b8bc9,0-0,30672.3169,2,desconocido,DESCONOCIDO,NO_INVESTIGADO,rol 0-0,-71.1275339357,-29.4932368092,0.000000000000000,0.000000000000000,,V,,,,
7d40fb853c74,80-1,20318.4432,2,desconocido,DESCONOCIDO,NO_INVESTIGADO,rol 80-1,-70.9174419821,-29.2547057452,80.000000000000000,1.000000000000000,,V,,,,
13ebfc1dae54,0-0,19192.7428,2,desconocido,DESCONOCIDO,NO_INVESTIGADO,rol 0-0,-70.6202498959,-29.5330675717,0.000000000000000,0.000000000000000,,V,,,,
